filename,chapter_id,chapter_name_he,image_set,image_number,placement,alt_he,alt_en,subchapter,identification_method
book_g42_036.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,36,inline,ארבעה חברים אוכלים יחד באוויר הפתוח,Four friends eating together outdoors,casablanca_youth,manual_visual_review
book_g42_020.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,20,gallery,טאג'ין מרוקאי מסורתי - מטבח של אמא,Traditional Moroccan tagine - mother's kitchen,moroccan_cuisine,manual_visual_review
book_g42_023.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,23,gallery,ילד יהודי-מרוקאי עם פרחים - ילדות בסטודיו,Jewish-Moroccan boy with flowers - childhood studio portrait,morocco_childhood,manual_visual_review
book_g42_032.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,32,gallery,ארבעה צעירים ברחוב קזבלנקה - חיי נוער,Four youth in Casablanca street - youth life,casablanca_streets,manual_visual_review
book_g42_034.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,34,gallery,ארבעה צעירים מטיילים ברחוב,Four youth walking the street,casablanca_streets,manual_visual_review
book_g42_035.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,35,gallery,שלושה גברים על חמורים - טיול בכפר מרוקאי,Three men on donkeys - Moroccan village trip,morocco_countryside,manual_visual_review
book_g42_042.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,42,gallery,חמישה צעירים מטיילים בשדרה,Five youth walking the boulevard,casablanca_streets,manual_visual_review
book_g42_043.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,43,gallery,שני בחורים עם משקפי שמש - אופנת שנות 50,Two youth with sunglasses - 50s fashion,casablanca_youth,manual_visual_review
book_g45_006.jpg,ch3,פרק ג': מרוקו של ילדותי,g45,6,gallery,קבוצת חברים צעירים - חיים חברתיים,Group of young friends - social life,youth_social,manual_visual_review
book_g42_037.jpg,ch4,פרק ד': כמיהה ציונית,g42,37,inline,כרזת גיוס לצהל - לחייל צהל,IDF recruitment poster - To the IDF soldier,zionist_yearning,manual_visual_review
book_g42_041.jpg,ch4,פרק ד': כמיהה ציונית,g42,41,inline,חלוצים בעבודה חקלאית - הכשרה לעלייה,Pioneers in agricultural training - aliyah preparation,pioneers,manual_visual_review
book_g42_046.jpg,ch4,פרק ד': כמיהה ציונית,g42,46,inline,חלוץ צעיר רועה כבשים,Young pioneer shepherding sheep,pioneers,manual_visual_review
book_g42_038.jpg,ch4,פרק ד': כמיהה ציונית,g42,38,gallery,תנועת נוער ציונית במרוקו מרימה דגל,Zionist youth movement in Morocco raising flag,youth_movement,manual_visual_review
book_g42_039.jpg,ch4,פרק ד': כמיהה ציונית,g42,39,gallery,מחנה תנועת נוער - בישול וחיים בקייטנה,Youth movement camp - cooking and camp life,youth_camp,manual_visual_review
book_g42_040.jpg,ch4,פרק ד': כמיהה ציונית,g42,40,gallery,צופים עם אופניים ופנסים - תנועת ההגנה,Scouts with bikes and lanterns - Haganah movement,scouts,manual_visual_review
book_g42_045.jpg,ch4,פרק ד': כמיהה ציונית,g42,45,gallery,פנחס הצעיר - דיוקן רשמי,Young Pinchas - official portrait,pinchas_young,manual_visual_review
book_g42_047.jpg,ch4,פרק ד': כמיהה ציונית,g42,47,gallery,שני חלוצים עם עדר כבשים,Two pioneers with sheep flock,pioneers,manual_visual_review
book_g42_048.jpg,ch5,פרק ה': אל הדרור,g42,48,inline,מעברה בישראל - בקתות עץ ונשים תולות כביסה,"Maabara in Israel - wooden huts, women hanging laundry",maabara,manual_visual_review
book_g42_049.jpg,ch5,פרק ה': אל הדרור,g42,49,inline,פרלה הצעירה מחייכת על האדמה - תקופה ראשונה בארץ,Young Perla smiling on ground - early time in Land,perla_young,manual_visual_review
book_g42_055.jpg,ch5,פרק ה': אל הדרור,g42,55,gallery,מבט רחב על מעברת העלייה בישראל,Wide view of immigrant maabara in Israel,maabara,manual_visual_review
book_g42_056.jpg,ch5,פרק ה': אל הדרור,g42,56,gallery,פרלה הצעירה בטבע - חיים חדשים בארץ,Young Perla in nature - new life in the Land,perla_aliya,manual_visual_review
book_g42_057.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g42,57,inline,פרלה בגן של בניין ירושלמי,Perla in Jerusalem building garden,jerusalem_first_days,manual_visual_review
book_g42_058.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g42,58,gallery,פרלה הצעירה ברחוב ירושלמי - שמחה,Young Perla in Jerusalem street - happy,jerusalem_first_days,manual_visual_review
book_g42_059.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g42,59,gallery,פרלה ופנחס הצעירים יחד - ראשית האהבה,Young Perla and Pinchas together - beginning of love,young_couple,manual_visual_review
book_g42_089.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g42,89,gallery,פרלה בשלג של ירושלים - שלג נדיר,Perla in Jerusalem snow - rare snow,jerusalem_life,manual_visual_review
book_g45_004.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g45,4,gallery,פנחס עם נכד על מרפסת בירושלים,Pinchas with grandchild on Jerusalem balcony,jerusalem_home,manual_visual_review
book_g45_005.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g45,5,gallery,פנחס במרפסת הבית בירושלים,Pinchas on Jerusalem home balcony,jerusalem_home,manual_visual_review
book_g45_008.jpg,ch6,פרק ו': ימים ראשונים בירושלים,g45,8,gallery,פנחס במעיל חורף בירושלים - שנות ה-60,Pinchas in winter coat in Jerusalem - 1960s,jerusalem_life,manual_visual_review
book_g42_050.jpg,ch7,פרק ז': סיפורה של פרלה,g42,50,inline,פרלה ואחותה/חברה הצעירות - קרובות,Perla and her sister/friend in youth - close,perla_sisters,manual_visual_review
book_g42_051.jpg,ch7,פרק ז': סיפורה של פרלה,g42,51,inline,פרלה הצעירה - דיוקן רשמי עם מחרוזת פנינים,Young Perla - official portrait with pearl necklace,perla_portrait,manual_visual_review
book_g42_053.jpg,ch7,פרק ז': סיפורה של פרלה,g42,53,inline,פרלה כילדה גדולה עם אח/אחיין קטן בפארק,Young Perla with little brother/nephew in park,perla_youth,manual_visual_review
book_g42_052.jpg,ch7,פרק ז': סיפורה של פרלה,g42,52,gallery,פרלה בצעירותה עם שיער גלי - דיוקן,Young Perla with wavy hair - portrait,perla_portrait,manual_visual_review
book_g42_054.jpg,ch7,פרק ז': סיפורה של פרלה,g42,54,gallery,פרלה כילדה במרוקו בשמלה לבנה וכובע,Perla as a child in Morocco in white dress and hat,perla_childhood,manual_visual_review
book_g42_063.jpg,ch7,פרק ז': סיפורה של פרלה,g42,63,gallery,פרלה ככלה - דיוקן רשמי ביום החתונה,Perla as bride - official wedding day portrait,perla_bride,manual_visual_review
book_g42_064.jpg,ch7,פרק ז': סיפורה של פרלה,g42,64,gallery,פנחס הצעיר עם שפם - דיוקן רשמי,Young Pinchas with mustache - official portrait,pinchas_portrait,manual_visual_review
book_g42_065.jpg,ch7,פרק ז': סיפורה של פרלה,g42,65,gallery,חתונת פרלה ופנחס - תמונת זוג רשמית,Perla and Pinchas wedding - official couple photo,wedding_portrait,manual_visual_review
book_g42_060.jpg,ch8,פרק ח': בית ומשפחה,g42,60,inline,פנחס כאב צעיר עם סימי ויהודה הקטנים,Pinchas as young father with young Simi and Yehuda,first_children,manual_visual_review
book_g42_061.jpg,ch8,פרק ח': בית ומשפחה,g42,61,inline,סימי ויהודה - הילדים הראשונים בילדותם,Simi and Yehuda - first children in their childhood,first_children,manual_visual_review
book_g42_062.jpg,ch8,פרק ח': בית ומשפחה,g42,62,gallery,תינוק מחייך בכובע סרוג - אחד מילדי פרלה ופנחס,Smiling baby in knitted hat - one of Perla and Pinchas's children,babies,manual_visual_review
book_g42_072.jpg,ch8,פרק ח': בית ומשפחה,g42,72,gallery,פרלה כאם צעירה עם הילדים הראשונים בטבע,Perla as young mother with first children in nature,young_family,manual_visual_review
book_g42_086.jpg,ch8,פרק ח': בית ומשפחה,g42,86,gallery,"המשפחה בים - פנחס, פרלה וילד נהנים מהחוף","Family at sea - Pinchas, Perla and child enjoying beach",family_trips,manual_visual_review
book_g42_090.jpg,ch8,פרק ח': בית ומשפחה,g42,90,gallery,פרלה עם שלושת ילדיה - משפחה צומחת,Perla with her three children - growing family,growing_family,manual_visual_review
book_g42_091.jpg,ch8,פרק ח': בית ומשפחה,g42,91,gallery,שלושה ילדי משפחת בן הראש - אחים ואחיות,Three Ben-Harrosh children - siblings,siblings,manual_visual_review
book_g42_095.jpg,ch8,פרק ח': בית ומשפחה,g42,95,gallery,"תמונה משפחתית מלאה - פרלה עם חמשת ילדיה: סימי, יהודה, סמי, אילן ואסף","Complete family photo - Perla with five children: Simi, Yehuda, Sammy, Ilan and Asaf",complete_family,manual_visual_review
book_g45_003.jpg,ch8,פרק ח': בית ומשפחה,g45,3,gallery,חתונה משנות ה-70 של אחד מהילדים,Wedding from the 1970s of one of the children,children_weddings,manual_visual_review
book_g45_029.jpg,ch8,פרק ח': בית ומשפחה,g45,29,gallery,חתונה משנות ה-80 עם שמפניה,1980s wedding with champagne,children_weddings,manual_visual_review
book_g45_049.jpg,ch8,פרק ח': בית ומשפחה,g45,49,gallery,"פנחס, פרלה ובן צעיר על שפת בריכה - חופשה","Pinchas, Perla and young son by pool - vacation",family_trips,manual_visual_review
book_g42_068.jpg,ch9,פרק ט': במדים,g42,68,inline,שני חברים - אחד במדים צבאיים ואחד באזרחי,"Two friends - one in uniform, one civilian",idf_service,manual_visual_review
book_g42_069.jpg,ch9,פרק ט': במדים,g42,69,inline,קבוצת חיילים בבסיס - חברי השירות הצבאי של פנחס,Group of soldiers at base - Pinchas's military comrades,idf_service,manual_visual_review
book_g42_071.jpg,ch9,פרק ט': במדים,g42,71,inline,פנחס בן הראש - דיוקן רשמי במדי קצין צהל,Pinchas Ben-Harrosh - official IDF officer portrait,idf_officer,manual_visual_review
book_g42_073.jpg,ch9,פרק ט': במדים,g42,73,inline,פנחס במדי משטרה רשמיים עם חבר,Pinchas in formal police uniform with friend,police_service,manual_visual_review
book_g42_066.jpg,ch9,פרק ט': במדים,g42,66,gallery,פנחס במדי צהל ופרלה לצידו - אהבה בצבא,Pinchas in IDF uniform with Perla beside him - love in army,idf_service,manual_visual_review
book_g42_067.jpg,ch9,פרק ט': במדים,g42,67,gallery,פנחס בצריף הצבאי - חיי חייל,Pinchas in military barracks - soldier's life,idf_service,manual_visual_review
book_g42_070.jpg,ch9,פרק ט': במדים,g42,70,gallery,ארבעה חברים בדמדומי השירות הצבאי,Four friends near end of military service,idf_service,manual_visual_review
book_g42_075.jpg,ch9,פרק ט': במדים,g42,75,gallery,חייל בצריף מנקה ציוד צבאי,Soldier in barracks cleaning military equipment,idf_service,manual_visual_review
book_g42_076.jpg,ch9,פרק ט': במדים,g42,76,gallery,פנחס בעבודה משרדית - משטרה/שבס,Pinchas in office work - police/prison service,police_service,manual_visual_review
book_g42_077.jpg,ch9,פרק ט': במדים,g42,77,gallery,פנחס כפקיד צבאי ליד מכונת כתיבה,Pinchas as military clerk at typewriter,idf_service,manual_visual_review
book_g42_078.jpg,ch9,פרק ט': במדים,g42,78,gallery,קבוצת חיילים גדולה ליד ג'יפ צבאי,Large group of soldiers next to military jeep,idf_service,manual_visual_review
book_g42_084.jpg,ch9,פרק ט': במדים,g42,84,gallery,טקס הענקת תעודות במשטרה - לחיצת ידיים,Police certificate ceremony - handshake,police_service,manual_visual_review
book_g42_085.jpg,ch9,פרק ט': במדים,g42,85,gallery,פנחס במדי משטרה רשמיים - דיוקן רשמי,Pinchas in formal police uniform - official portrait,police_service,manual_visual_review
book_g42_082.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,82,inline,פנחס ופרלה כזוג מבוגר בטבע - אהבה ארוכת שנים,Mature Pinchas and Perla in nature - long-lasting love,enduring_love,manual_visual_review
book_g42_093.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,93,inline,ציור דיוקן אישה על ידי פנחס - אומנות משפחתית,Woman portrait painting by Pinchas - family art,pinchas_paintings,manual_visual_review
book_g42_083.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,83,gallery,תעודת הוקרה לפנחס מאיגוד גמלאי המשטרה ושבס - דצמבר 2012,Certificate of honor to Pinchas from Police & Prison Retirees Association - December 2012,pinchas_honor,manual_visual_review
book_g42_087.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,87,gallery,פרלה עם נכד בטיול בנוף ירושלמי,Perla with grandchild on Jerusalem landscape trip,grandchildren,manual_visual_review
book_g42_088.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,88,gallery,פנחס עם בת/נכדה בטיול ליד קיר אבן,Pinchas with daughter/granddaughter on trip by stone wall,family_trips,manual_visual_review
book_g42_092.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,92,gallery,ציור טבע דומם שצייר פנחס - אומנות בבית,Still life painting by Pinchas - art at home,pinchas_paintings,manual_visual_review
book_g42_094.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g42,94,gallery,פנחס מתבונן בציור שצייר - פנחס כצייר אומן,Pinchas looking at his own painting - Pinchas as artist,pinchas_paintings,manual_visual_review
book_g45_000.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,0,gallery,ציור אם וילד מחובקים - אומנות משפחתית,Painting of mother and child embracing - family art,family_art,manual_visual_review
book_g45_001.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,1,gallery,שתי נשים מהדור הצעיר מחייכות,Two women from the younger generation smiling,daughters_generation,manual_visual_review
book_g45_002.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,2,gallery,אירוע משפחתי רשמי - שלושה דורות,Formal family event - three generations,family_event,manual_visual_review
book_g45_007.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,7,gallery,אישה צעירה במרפסת - בת/נכדה,Young woman on balcony - daughter/granddaughter,family_youth,manual_visual_review
book_g45_009.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,9,gallery,זוג צעיר מהדור הבא,Young couple from the next generation,next_generation,manual_visual_review
book_g45_010.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,10,gallery,תמונת משפחתית - דור הנכדים,Family photo - grandchildren generation,grandchildren,manual_visual_review
book_g45_011.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,11,gallery,זוג צעיר במסעדה,Young couple at restaurant,modern_family,manual_visual_review
book_g45_012.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,12,gallery,פנחס בערוב ימיו עם נכד,Elder Pinchas with grandson,grandchildren,manual_visual_review
book_g45_013.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,13,gallery,חתונה של בן/נכד - הזוג ליד בריכה,Wedding of son/grandson - couple by pool,next_gen_weddings,manual_visual_review
book_g45_014.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,14,gallery,דיוקן נכד צעיר מחייך,Young grandson portrait smiling,grandchildren_portraits,manual_visual_review
book_g45_015.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,15,gallery,נכד קטן בחולצת 'אבא שלי סופרמן',Young grandson in 'My Dad is a Super Hero' shirt,grandchildren,manual_visual_review
book_g45_017.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,17,gallery,אם צעירה עם תינוקת - דור שלישי,Young mother with baby girl - third generation,great_grandchildren,manual_visual_review
book_g45_018.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,18,gallery,תינוקת בעריסה - דור הנכדים,Baby in crib - grandchildren generation,grandchildren,manual_visual_review
book_g45_020.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,20,gallery,נכדה במדי חיילת צהל - דיוקן,Granddaughter in IDF uniform - portrait,grandchildren,manual_visual_review
book_g45_021.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,21,gallery,חתונה של נכד עם עניבה סגולה,Grandson's wedding with purple tie,next_gen_weddings,manual_visual_review
book_g45_022.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,22,gallery,חתונה של זוג צעיר עם זר ורדים אדום,Young couple wedding with red rose bouquet,next_gen_weddings,manual_visual_review
book_g45_023.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,23,gallery,משפחה צעירה - הורים ותינוק,Young family - parents and baby,great_grandchildren,manual_visual_review
book_g45_024.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,24,gallery,חתונה משפחתית גדולה של צאצאים,Large family wedding of descendants,next_gen_weddings,manual_visual_review
book_g45_025.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,25,gallery,דיוקן בן מבוגר של פרלה ופנחס,Adult son of Perla and Pinchas - portrait,adult_children,manual_visual_review
book_g45_026.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,26,gallery,חתונה של ילד/נכד - חליפה אפורה,Child/grandchild wedding - grey suit,next_gen_weddings,manual_visual_review
book_g45_027.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,27,gallery,אבא ושני בנים - שלושה דורות,Father and two sons - three generations,three_generations,manual_visual_review
book_g45_028.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,28,gallery,ארבעה נכדים מחייכים יחד,Four grandchildren smiling together,grandchildren,manual_visual_review
book_g45_030.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,30,gallery,משפחה צעירה עם שני ילדים - selfie,Young family with two children - selfie,modern_family,manual_visual_review
book_g45_031.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,31,gallery,דיוקן בן בוגר של המשפחה,Adult son - family portrait,adult_children,manual_visual_review
book_g45_032.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,32,gallery,דיוקן בן/נכד צעיר מחייך,Young son/grandson - smiling portrait,adult_children,manual_visual_review
book_g45_033.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,33,gallery,דיוקן גבר מחייך עם זקנקן,Man with goatee - smiling portrait,adult_children,manual_visual_review
book_g45_034.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,34,gallery,פנחס המבוגר עם בן בוגר - שני דורות,Elder Pinchas with adult son - two generations,father_son,manual_visual_review
book_g45_035.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,35,gallery,נכד מתבגר עם גשרים בשיניים,Teenage grandson with braces,grandchildren,manual_visual_review
book_g45_036.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,36,gallery,נערה צעירה מחייכת - נכדה,Young girl smiling - granddaughter,grandchildren,manual_visual_review
book_g45_037.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,37,gallery,חתונה יהודית מסורתית - קריאת הכתובה תחת החופה,Traditional Jewish wedding - ketubah reading under chuppah,next_gen_weddings,manual_visual_review
book_g45_038.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,38,gallery,נכדה צעירה בשמלה לבנה - בת המשפחה,Young granddaughter in white dress,grandchildren,manual_visual_review
book_g45_039.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,39,gallery,פנחס המבוגר עם נכד צעיר וצלמו,Elder Pinchas with young grandson and camera,grandchildren,manual_visual_review
book_g45_040.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,40,gallery,נכדה קטנה מחייכת,Young granddaughter smiling,grandchildren,manual_visual_review
book_g45_041.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,41,gallery,ארוחת משפחה גדולה במסעדה,Large family dinner at restaurant,family_dinners,manual_visual_review
book_g45_042.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,42,gallery,פרלה ופנחס עם בן ובת - שלושה דורות באירוע,Perla and Pinchas with son and daughter - three generations,three_generations,manual_visual_review
book_g45_043.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,43,gallery,תינוק חמוד - דור הנינים,Cute baby - great-grandchildren generation,great_grandchildren,manual_visual_review
book_g45_044.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,44,gallery,ילדה עם עיניים גדולות - נכדה בילדות,Girl with big eyes - granddaughter in childhood,grandchildren,manual_visual_review
book_g45_046.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,46,gallery,פנחס המבוגר מחבק את בנו - רגע אינטימי,Elder Pinchas embracing his son - intimate moment,father_son,manual_visual_review
book_g45_047.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,47,gallery,פרלה ופנחס המבוגרים עם בן ונכדה - ארבעה דורות,Elder Perla and Pinchas with son and granddaughter - four generations,four_generations,manual_visual_review
book_g45_048.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,48,gallery,משפחה גרעינית מודרנית - הורים ותינוק ובת,"Modern nuclear family - parents, baby and daughter",modern_family,manual_visual_review
book_g45_050.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,50,gallery,פרלה בציון הרמחל בטבריה - עליית לקבר הצדיק,Perla at Ramchal's tomb in Tiberias - pilgrimage,pilgrimages,manual_visual_review
book_g45_051.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,51,gallery,פרלה על חוף הים - טיול,Perla at the beach - trip,trips,manual_visual_review
book_g45_052.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,52,gallery,פרלה ליד מפל מים בטבע,Perla by waterfall in nature,trips,manual_visual_review
book_g45_053.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,53,gallery,פרלה ופנחס עם משקפי שמש - חופשה שנות ה-80,Perla and Pinchas with sunglasses - 1980s vacation,trips,manual_visual_review
book_g45_054.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,54,gallery,פנחס המבוגר עם שתי אחיות/חברות בסעודה,Elder Pinchas with two sisters/friends at dinner,extended_family,manual_visual_review
book_g45_055.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,55,gallery,שתי נשים מבוגרות מחזיקות ידיים - אחווה לאורך שנים,Two elderly women holding hands - sisterhood through years,extended_family,manual_visual_review
book_g45_056.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,56,gallery,דיוקן בן בוגר - חליפה רשמית,Adult son portrait - formal suit,adult_children,manual_visual_review
book_g45_057.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,57,gallery,ילד קטן צוחק בשמחה - נכד,Young child laughing with joy - grandchild,grandchildren,manual_visual_review
book_g45_058.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,58,gallery,פרלה ופנחס בחופשה בחול - נוף ים,Perla and Pinchas on overseas vacation - sea view,trips,manual_visual_review
book_g45_059.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,59,gallery,פרלה ופנחס על סיפון אונייה עם דגל ישראל,Perla and Pinchas on ship deck with Israeli flag,trips,manual_visual_review
book_g45_060.jpg,ch10,"פרק י': המבט לעבר, הציפייה לעתיד",g45,60,gallery,פרלה בזקנתה מטיילת בפארק עם כובע צהוב,Elder Perla walking in park with yellow hat,elder_years,manual_visual_review
